excel_row,measure_id,measure_name,bau_membership,fast_track_membership,matrix_status,verified_project_status,matsim_representation,evidence_file,remaining_action,methodological_limitation
"15","XLSX_ROW_15","4-gleisiger Ausbau Daglfing–Johanneskirchen","no","yes","included_in_GTFS2037=no; in_MATSim=indirekt berücksichtigen","represented_indirectly","enabling condition for Nordring; existing S8 unchanged","original-input-data/mvv_gtfs_2037/fast_track_service_specification.csv; docs/gtfs2040/gtfs2037_fast_track_method.md","No further technical action under normal-day timetable scope.","Track capacity, freight separation and signalling are not represented in the PT pseudonetwork."
"16","XLSX_ROW_16","2. Stammstrecke","yes","yes","included_in_GTFS2037=yes; in_MATSim=umsetzbar","implemented_directly","forecast line patterns and new second-trunk stops in both schedules","docs/gtfs2040/gtfs2037_raw_audit.md; docs/gtfs2040/gtfs2037_munich_routes.csv; scenarios/munich_bau_2040/input_transit/transitSchedule.xml.gz","No implementation action; retain route-pattern checks on rebuild.","The timetable is represented, but tunnel and station capacity are not physically simulated."
"17","XLSX_ROW_17","Niveaufreie Verzweigung München-Westkreuz (NeM 13)","yes","yes","included_in_GTFS2037=no; in_MATSim=indirekt berücksichtigen","represented_indirectly","enabling infrastructure embodied only in the supplied forecast timetable","docs/gtfs2040/gtfs2037_munich_filter_method.md; docs/methodology/scenario_implementation_register.csv","No separate network edit without an attributable operational effect.","The physical junction and its isolated capacity effect cannot be identified in the PT pseudonetwork."
"18","XLSX_ROW_18","Sendlinger Spange","yes","yes","included_in_GTFS2037=no; in_MATSim=indirekt berücksichtigen","represented_indirectly","normal-day timetable intentionally unchanged; resilience documented","original-input-data/mvv_gtfs_2037/common_service_specification.csv; docs/gtfs2040/gtfs2037_common_measures_method.md","No normal-day technical action.","Disruption resilience and diversion operations are outside the simulated normal service day."
"19","XLSX_ROW_19","Berduxstraße: Eine neue S-Bahn-Station für Pasing-Obermenzing","yes","yes","included_in_GTFS2037=no; in_MATSim=umsetzbar","implemented_directly","new stop on 203 regular S2 trips","original-input-data/mvv_gtfs_2037/common_service_specification.csv; src/main/java/org/matsim/project/prepare/BuildCommonGtfs2037Measures.java; src/test/java/org/matsim/project/prepare/BuildCommonGtfs2037MeasuresTest.java","No implementation action; retain regression validation on rebuild.","Proxy platform location and 60-second dwell are documented modelling assumptions."
"20","XLSX_ROW_20","Olympisches Dorf","no","yes","included_in_GTFS2037=no; in_MATSim=indirekt berücksichtigen","represented_indirectly","deterministic relocation of 525 home persons and 175 work persons","src/main/java/org/matsim/project/prepare/CreateFastTrackVillagePopulation2040.java; src/test/java/org/matsim/project/prepare/CreateFastTrackVillagePopulation2040Test.java; docs/methodology/population_2040.md","No implementation action for the approved centroid-and-relocation assumption.","A single centroid and relocated existing demand proxy the village; they do not distinguish permanent, Games-time or visitor demand."
"21","XLSX_ROW_21","Media Village","no","yes","included_in_GTFS2037=no; in_MATSim=indirekt berücksichtigen","represented_indirectly","deterministic relocation of 175 home persons and 58 work persons","src/main/java/org/matsim/project/prepare/CreateFastTrackVillagePopulation2040.java; src/test/java/org/matsim/project/prepare/CreateFastTrackVillagePopulation2040Test.java; docs/methodology/population_2040.md","No implementation action for the approved centroid-and-relocation assumption.","Relocated demand proxies the village; the 3,500 accommodation figure and derived jobs do not resolve the permanent/Games-time land-use mix."
"22","XLSX_ROW_22","Paul-Gerhardt-Allee in Pasing","yes","yes","included_in_GTFS2037=no; in_MATSim=nicht berücksichtigen","not_modelled_by_design","common 2040 population only; no measure-specific population or network edit","docs/methodology/population_2040.md; scenarios/munich_bau_2040/config_bau.xml; scenarios/munich_fast_track_2040/config_fast_track.xml","No technical action; correct the stale implementation-register wording and matrix effect text when the workbook is next maintained by its owner.","It is general BAU urban development; selective explicit modelling would require a consistent treatment of other developments."
"23","XLSX_ROW_23","Tram Westtangente","yes","yes","included_in_GTFS2037=yes; in_MATSim=umsetzbar","implemented_directly","forecast tram route and stop pattern retained in both schedules","docs/gtfs2040/gtfs2037_raw_audit.md; docs/gtfs2040/gtfs2037_munich_routes.csv; scenarios/munich_bau_2040/input_transit/transitSchedule.xml.gz","No implementation action; retain named route checks.","Track capacity and construction are not independently represented beyond the forecast service."
"24","XLSX_ROW_24","Tram Münchner Norden","yes","yes","included_in_GTFS2037=yes; in_MATSim=umsetzbar","implemented_directly","forecast tram lines 23/24 retained in both schedules","docs/gtfs2040/gtfs2037_raw_audit.md; docs/gtfs2040/gtfs2037_munich_routes.csv; scenarios/munich_bau_2040/input_transit/transitSchedule.xml.gz","No implementation action; retain named route checks.","Construction and physical track capacity are outside the timetable representation."
"25","XLSX_ROW_25","Tram Johanneskirchen","yes","yes","included_in_GTFS2037=yes; in_MATSim=umsetzbar","implemented_directly","forecast tram service to Johanneskirchen retained in both schedules","docs/gtfs2040/gtfs2037_raw_audit.md; docs/gtfs2040/gtfs2037_munich_routes.csv; scenarios/munich_bau_2040/input_transit/transitSchedule.xml.gz","No implementation action; retain the interchange regression check.","The supplied forecast timetable is accepted as the operating assumption."
"26","XLSX_ROW_26","U5 Pasing","yes","yes","included_in_GTFS2037=yes; in_MATSim=umsetzbar","implemented_directly","forecast U5 extension and stops retained in both schedules","docs/gtfs2040/gtfs2037_raw_audit.md; docs/gtfs2040/gtfs2037_munich_routes.csv; scenarios/munich_bau_2040/input_transit/transitSchedule.xml.gz","No implementation action; retain endpoint checks.","The supplied forecast timetable is accepted as the operating assumption."
"27","XLSX_ROW_27","U5 Freiham","yes","yes","included_in_GTFS2037=yes; in_MATSim=umsetzbar","implemented_directly","forecast U5 extension to Freiham retained in both schedules","docs/gtfs2040/gtfs2037_raw_audit.md; docs/gtfs2040/gtfs2037_munich_routes.csv; scenarios/munich_bau_2040/input_transit/transitSchedule.xml.gz","No implementation action; retain endpoint checks.","The supplied forecast timetable is accepted as the operating assumption."
"28","XLSX_ROW_28","U6 Martinsried","yes","yes","included_in_GTFS2037=yes; in_MATSim=umsetzbar","implemented_directly","forecast U6 extension to Martinsried retained in both schedules","docs/gtfs2040/gtfs2037_raw_audit.md; docs/gtfs2040/gtfs2037_munich_routes.csv; scenarios/munich_bau_2040/input_transit/transitSchedule.xml.gz","No implementation action; retain endpoint checks.","The supplied forecast timetable is accepted as the operating assumption."
"29","XLSX_ROW_29","U9 Entlastungsspange","no","yes","included_in_GTFS2037=no; in_MATSim=umsetzbar","implemented_directly","generated Fast Track U9 trunk with 520 departures","original-input-data/mvv_gtfs_2037/fast_track_service_specification.csv; src/main/java/org/matsim/project/prepare/BuildFastTrackGtfs2037.java; src/test/java/org/matsim/project/prepare/BuildFastTrackGtfs2037Test.java","No implementation action; sensitivity analysis is separate.","The main corridor, proxy platforms and timetable are model assumptions; U29 is excluded."
"30","XLSX_ROW_30","Ausbau U4 bis Messe","no","yes","included_in_GTFS2037=no; in_MATSim=umsetzbar","implemented_directly","398 existing Fast Track U4 trips extended to Messestadt West","original-input-data/mvv_gtfs_2037/fast_track_service_specification.csv; src/main/java/org/matsim/project/prepare/BuildFastTrackGtfs2037.java; src/test/java/org/matsim/project/prepare/BuildFastTrackGtfs2037Test.java","No implementation action; sensitivity analysis is separate.","A reduced approved stop pattern and proxy coordinates are used."
"31","XLSX_ROW_31","Neuer Hauptbahnhof","yes","yes","included_in_GTFS2037=partly; in_MATSim=indirekt berücksichtigen","represented_indirectly","station platforms and interchange in the transit schedules","docs/gtfs2040/gtfs2037_raw_audit.md; scenarios/munich_bau_2040/input_transit/transitSchedule.xml.gz; docs/methodology/scenario_implementation_register.csv","No technical action for the approved transit-node representation.","Architecture, concourse capacity, public realm and construction impacts are not modelled."
