source_row,measure_id,measure_name,scenario_membership,current_status,representation_mechanism,implementation_file,evidence_found,remaining_action,required_evidence_or_assumption,validation_method,double_counting_risk,priority
15,XLSX_ROW_15,Four-track Daglfing-Johanneskirchen,Fast Track,partially or indirectly represented,documentation only,original-input-data/mvv_gtfs_2037/fast_track_service_specification.csv,"Documented only as an enabling condition for the Nordring; S8 remains unchanged and physical capacity is absent.",Retain this limited interpretation or implement rail-capacity modelling outside GTFS if operational interaction becomes analytically necessary.,Capacity signalling freight separation and operational timetable evidence would be needed for physical modelling.,Confirm unchanged S8 and presence of Nordring; document that capacity effects are not simulated.,none,medium
16,XLSX_ROW_16,Second S-Bahn trunk line,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"Forecast rail patterns explicitly serve München Hbf tief 2. Stammstrecke Marienplatz Marienhof and Ostbahnhof 2. Stammstrecke; both MATSim schedules load and route successfully.",Retain and add a measure-specific route regression test when the BAU feed is next rebuilt.,The supplied forecast timetable is treated as the operational representation; tunnel capacity itself is not simulated.,Assert trunk stop sequence on representative S18X S23X and S24X routes and run representative routing.,none,complete
17,XLSX_ROW_17,Grade-separated Munich-Westkreuz junction,BAU and Fast Track,partially or indirectly represented,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"The forecast timetable may depend on the junction but no physical railway junction or isolated travel-time effect is represented.",Establish whether any timetable effect is uniquely attributable; otherwise retain as an enabling assumption.,An operational study linking the structure to specific routes frequencies or running times is required.,Document source-to-timetable traceability; no standalone network test is meaningful in the PT pseudonetwork.,none,low
18,XLSX_ROW_18,Sendlinger Spange,BAU and Fast Track,partially or indirectly represented,documentation only,original-input-data/mvv_gtfs_2037/common_service_specification.csv,"Excel row 18 specifies no published regular-weekday change; existing S20 and other GTFS services remain byte-for-byte unchanged.",Retain as an indirect enabling/resilience measure with no separate GTFS modification.,Disruption rerouting and operational stability cannot be inferred or represented in the normal-day timetable simulation.,Assert no Sendlinger-Spange-specific rows are generated and document the excluded disruption mechanism.,none,complete
19,XLSX_ROW_19,Berduxstraße S-Bahn station,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/common_service_specification.csv,"Dedicated S-Bahn platforms are inserted in 203 regular S2 trips; express routes and incomplete patterns are excluded.",Retain and include in the later scenario smoke test.,"Excel row 19 supplies the S2 rule; parent 162054 is an explicit scenario-assumption coordinate proxy; 9079 positive current-GTFS observations support 60 seconds dwell; no separate braking penalty is identifiable.",Rebuild both feeds; validate complete regular calling pattern exact affected-trip counts references monotone times MATSim read-back and routed accessibility.,none,complete
20,XLSX_ROW_20,Olympic Village,Fast Track,partially or indirectly represented,population activity locations,scenarios/munich_fast_track_2040/population_2040_fast_track.xml,"A deterministic builder relocates 525 Home persons and 175 disjoint Work persons to EPSG:31468 4474723.879 5335134.368 on existing car link 3215. Total population stays 336208; times modes plans and attributes remain unchanged.",Refine the single-centroid relocation only if permanent residents Games-time accommodation workers and visitors can be distinguished without double counting.,Authoritative development boundary occupancy timing resident totals jobs and whether the thesis models post-conversion residents or Games-time occupants.,Rerun the focused builder test and builder; verify exact assignments readback SHA determinism BAU hash and production config reference.,high,high
21,XLSX_ROW_21,Media Village,Fast Track,partially or indirectly represented,population activity locations,scenarios/munich_fast_track_2040/population_2040_fast_track.xml,"A deterministic builder relocates 175 Home persons and 58 disjoint Work persons to EPSG:31468 4474646.104 5333855.294 on existing car link 416540. Total population stays 336208; times modes plans and attributes remain unchanged.",Separate accommodation relocation from Games-time media employment and visitor demand before further refinement.,Authoritative site boundary temporal scenario 3500 media-worker interpretation workplace totals accommodation totals and trip schedules.,Rerun the focused builder test and builder; verify exact assignments readback SHA determinism BAU hash and production config reference.,high,high
22,XLSX_ROW_22,Paul-Gerhardt-Allee development,BAU and Fast Track,partially or indirectly represented,population activity locations; car network,scenarios/munich_bau_2040/population_2040.xml,"A 1 km proxy around stop 109761 already contains 587 persons with home activities and 1534 persons with any activity; the populations are identical. Bus service exists but no measure-specific road-network change is documented.",Determine whether the 2040 projection already includes the development and identify any missing road links before adding demand.,Development boundary build-out population jobs and road-opening evidence plus provenance of the demographic projection.,Spatially reconcile projected residents and jobs; compare required roads with existing car links and test access without adding duplicate residents.,high,medium
23,XLSX_ROW_23,Tram Westtangente,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"Forecast tram routes are retained in the cleaned feed and all schedule network and vehicle references passed validation.",Add a named endpoint and stop-pattern regression check when next rebuilding the BAU feed.,The supplied forecast GTFS is the timetable source; physical tram-track capacity is not represented.,Check Romanplatz-Fürstenrieder Straße-Aidenbachstraße stop patterns and route a representative journey.,none,complete
24,XLSX_ROW_24,Tram Munich North,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"Forecast tram routes including lines 23 and 24 are retained and technically validated.",Add a named stop-pattern regression check for Neufreimann Kieferngarten and Am Hart.,The supplied forecast GTFS defines service; construction geometry is not independently modelled.,Check line 23 extension and line 24 stop patterns counts and representative routing.,none,complete
25,XLSX_ROW_25,Tram Johanneskirchen,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"The forecast feed contains the Johanneskirchen tram platform under parent 107729 and validated tram service.",Retain and add a direct route regression test.,The supplied forecast GTFS defines the branch timetable and interchange.,Assert tram-mode service at Johanneskirchen and route to the S-Bahn interchange.,none,complete
26,XLSX_ROW_26,U5 extension to Pasing,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"MUC_U5_neu Prognose is retained with 474 trips and forecast stop patterns; conversion and routing infrastructure validate.",Retain and add a Pasing endpoint regression test.,The supplied forecast GTFS is the operating assumption.,Assert Baumschule Laim Am Knie and Pasing sequence and route a representative U5 journey.,none,complete
27,XLSX_ROW_27,U5 extension to Freiham,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"The raw audit verified U5 forecast trips to Freiham Zentrum; MUC_U5_neu Prognose has 474 retained trips.",Retain and preserve the audited terminal check.,The supplied forecast GTFS is the operating assumption.,Assert Freiham Zentrum service direction counts and representative routing.,none,complete
28,XLSX_ROW_28,U6 extension to Martinsried,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"The raw audit verified U6 forecast trips to Martinsried; MUC_U6_neu Prognose has 547 retained trips.",Retain and preserve the audited terminal check.,The supplied forecast GTFS is the operating assumption.,Assert Martinsried service direction counts and representative routing.,none,complete
29,XLSX_ROW_29,U9 relief line,Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_fast_track.zip,"FT_U9 has 520 deduplicated departures and passed platform-transfer routing and smoke tests.",Retain; later test timetable and proxy-location sensitivity.,Approved source derivation deduplication 20-second intermediate dwell and coordinate proxies are documented assumptions.,Run builder tests full GTFS/MATSim validation and the focused U6-U9 Hauptbahnhof and Impler-/Poccistraße routes.,none,complete
30,XLSX_ROW_30,U4 extension to Messestadt West,Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_fast_track.zip,"All 398 existing U4 trips are extended without a frequency increase and the extension passed routing validation.",Retain; later test proxy and running-time sensitivity.,Approved minimal stop pattern and proxy coordinates are documented scenario assumptions.,Assert 398 modified trips unchanged departure count stop sequence references and a routed journey to Messestadt West.,none,complete
31,XLSX_ROW_31,New Munich Central Station,BAU and Fast Track,partially or indirectly represented,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"Existing and forecast Hauptbahnhof platforms including second-trunk and U9 facilities are represented; the building public realm construction process and station capacity are not.",Retain as a transit interchange representation and explicitly exclude architectural and capacity effects.,Platform and transfer assumptions are sufficient for routing; concourse capacity and construction impacts would require separate evidence and modelling.,Route representative interchanges and validate minimum transfers; document excluded building effects.,none,low
